gender,level_of_education,lunch,math_score,reading_score,writing_score,average,performance
1,1,1,55,59,59,57.66666667,1
0,1,1,74,90,88,84.0,0
1,0,0,50,48,42,46.66666667,1
1,0,0,47,43,41,43.66666667,1
1,0,0,81,74,71,75.33333333,0
0,1,0,65,75,77,72.33333333,0
1,1,0,68,51,57,58.66666667,1
0,0,1,73,92,84,83.0,0
1,0,0,53,39,37,43.0,1
0,1,1,68,77,80,75.0,0
1,1,1,55,46,43,48.0,1
0,0,0,87,89,94,90.0,0
1,1,0,55,47,44,48.66666667,1
0,0,1,53,58,57,56.0,1
1,1,0,67,57,59,61.0,0
1,1,0,92,79,84,85.0,0
0,0,1,53,66,73,64.0,0
1,1,0,81,71,73,75.0,0
1,0,1,61,60,55,58.66666667,1
1,0,0,80,73,72,75.0,0
0,1,1,37,57,56,50.0,1
0,0,0,81,84,82,82.33333333,0
0,1,0,59,73,72,68.0,0
1,0,1,55,55,47,52.33333333,1
1,1,0,72,79,74,75.0,0
1,0,0,69,75,71,71.66666667,0
1,0,0,69,64,68,67.0,0
0,0,1,50,60,59,56.33333333,1
1,0,0,87,84,86,85.66666667,0
1,1,0,71,69,68,69.33333333,0
1,0,0,68,72,65,68.33333333,0
1,1,1,79,77,75,77.0,0
0,1,0,77,90,85,84.0,0
1,1,1,58,55,53,55.33333333,1
0,1,0,84,95,92,90.33333333,0
1,0,0,55,58,52,55.0,1
1,0,1,70,68,72,70.0,0
0,0,1,52,59,65,58.66666667,1
1,0,0,69,77,77,74.33333333,0
0,0,1,53,72,64,63.0,0
0,1,0,48,58,54,53.33333333,1
1,1,0,78,81,86,81.66666667,0
0,0,0,62,62,63,62.33333333,0
1,0,0,60,63,59,60.66666667,0
0,0,0,74,72,72,72.66666667,0
0,0,0,58,75,77,70.0,0
1,0,0,76,62,60,66.0,0
0,1,0,68,71,75,71.33333333,0
1,0,1,58,60,57,58.33333333,1
1,0,0,52,48,49,49.66666667,1
1,0,0,75,73,74,74.0,0
0,1,1,52,67,72,63.66666667,0
0,0,1,62,78,79,73.0,0
1,0,0,66,65,60,63.66666667,0
0,1,1,49,58,55,54.0,1
0,0,0,66,72,70,69.33333333,0
0,0,1,35,44,43,40.66666667,1
0,0,0,72,79,82,77.66666667,0
1,1,0,94,85,82,87.0,0
0,1,1,46,56,57,53.0,1
0,1,0,77,90,84,83.66666667,0
0,0,1,76,85,82,81.0,0
0,1,0,52,59,62,57.66666667,1
1,0,0,91,81,79,83.66666667,0
0,1,0,32,51,44,42.33333333,1
0,1,1,72,79,77,76.0,0
0,0,0,19,38,32,29.66666667,1
1,1,1,68,65,61,64.66666667,0
0,1,1,52,65,61,59.33333333,1
0,0,0,48,62,60,56.66666667,1
0,0,1,60,66,70,65.33333333,0
1,0,1,66,74,69,69.66666667,0
1,1,0,89,84,77,83.33333333,0
0,0,0,42,52,51,48.33333333,1
0,1,1,57,68,73,66.0,0
1,0,0,70,70,70,70.0,0
0,1,1,70,84,81,78.33333333,0
1,0,0,69,60,54,61.0,0
0,1,0,52,55,57,54.66666667,1
1,1,0,67,73,68,69.33333333,0
1,1,0,76,80,73,76.33333333,0
0,1,0,87,94,95,92.0,0
0,0,0,82,85,87,84.66666667,0
0,0,0,73,76,78,75.66666667,0
1,0,1,75,81,74,76.66666667,0
0,0,1,64,74,75,71.0,0
0,0,1,41,45,40,42.0,1
1,0,0,90,75,69,78.0,0
1,0,0,59,54,51,54.66666667,1
1,1,0,51,31,36,39.33333333,1
1,0,1,45,47,49,47.0,1
0,1,0,54,64,67,61.66666667,0
1,1,0,87,84,76,82.33333333,0
0,0,0,72,80,83,78.33333333,0
1,1,0,94,86,87,89.0,0
0,0,0,45,59,64,56.0,1
1,0,1,61,70,76,69.0,0
0,0,1,60,72,68,66.66666667,0
0,1,0,77,91,88,85.33333333,0
0,1,0,85,90,92,89.0,0
0,0,1,78,90,93,87.0,0
1,0,1,49,52,51,50.66666667,1
0,0,1,71,87,82,80.0,0
0,1,1,48,58,52,52.66666667,1
1,0,0,62,67,58,62.33333333,0
0,1,1,56,68,70,64.66666667,0
0,1,0,65,69,76,70.0,0
0,1,1,69,86,81,78.66666667,0
1,1,0,68,54,53,58.33333333,1
0,0,1,61,60,57,59.33333333,1
0,0,1,74,86,89,83.0,0
1,0,0,64,60,58,60.66666667,0
0,0,0,77,82,89,82.66666667,0
1,0,0,58,50,45,51.0,1
0,0,0,60,64,74,66.0,0
1,0,0,73,64,57,64.66666667,0
0,0,0,75,82,79,78.66666667,0
1,1,1,58,57,53,56.0,1
0,1,0,66,77,73,72.0,0
0,0,1,39,52,46,45.66666667,1
1,1,0,64,58,51,57.66666667,0
0,0,1,23,44,36,34.33333333,1
1,0,1,74,77,76,75.66666667,0
0,1,1,40,65,64,56.33333333,1
1,1,0,90,85,84,86.33333333,0
1,1,0,91,85,85,87.0,0
1,0,0,64,54,50,56.0,1
0,0,0,59,72,68,66.33333333,0
1,1,0,80,75,69,74.66666667,0
1,1,0,71,67,67,68.33333333,0
0,0,0,61,68,63,64.0,0
0,0,0,87,85,93,88.33333333,0
1,1,0,82,67,61,70.0,0
1,1,0,62,64,55,60.33333333,0
0,0,0,97,97,96,96.66666667,0
1,0,1,75,68,65,69.33333333,0
0,0,0,65,79,81,75.0,0
1,0,0,52,49,46,49.0,1
1,1,1,87,73,72,77.33333333,0
0,1,0,53,62,53,56.0,1
0,1,1,81,86,87,84.66666667,0
1,0,1,39,42,38,39.66666667,1
0,0,0,71,71,80,74.0,0
1,1,0,97,93,91,93.66666667,0
1,0,0,82,82,88,84.0,0
1,0,1,59,53,52,54.66666667,1
1,1,0,61,42,41,48.0,1
1,1,1,78,74,72,74.66666667,0
1,1,1,49,51,51,50.33333333,1
1,0,0,59,58,47,54.66666667,1
0,0,0,70,72,76,72.66666667,0
1,1,0,82,84,78,81.33333333,0
1,1,1,90,90,82,87.33333333,0
0,0,1,43,62,61,55.33333333,1
1,0,1,80,64,66,70.0,0
1,0,0,81,82,84,82.33333333,0
1,1,0,57,61,54,57.33333333,1
0,1,0,59,72,80,70.33333333,0
0,1,0,64,76,74,71.33333333,0
1,0,0,63,64,66,64.33333333,0
0,0,0,71,70,70,70.33333333,0
0,0,1,64,73,71,69.33333333,0
1,0,1,55,46,44,48.33333333,1
0,1,0,51,51,54,52.0,1
0,1,0,62,76,80,72.66666667,0
0,1,0,93,100,95,96.0,0
1,0,1,54,72,59,61.66666667,0
0,0,1,69,65,74,69.33333333,0
1,0,1,44,51,48,47.66666667,1
0,0,0,86,85,91,87.33333333,0
0,1,0,85,92,85,87.33333333,0
0,1,1,50,67,73,63.33333333,0
1,1,0,88,74,75,79.0,0
0,1,0,59,62,69,63.33333333,0
0,1,1,32,34,38,34.66666667,1
1,0,1,36,29,27,30.66666667,1
0,1,1,63,78,79,73.33333333,0
1,1,0,67,54,63,61.33333333,0
0,1,0,65,78,82,75.0,0
1,1,0,85,84,89,86.0,0
0,1,0,73,78,74,75.0,0
0,0,1,34,48,41,41.0,1
0,0,1,93,100,100,97.66666667,0
0,1,1,67,84,84,78.33333333,0
1,0,0,88,77,77,80.66666667,0
1,0,0,57,48,51,52.0,1
0,0,0,79,84,91,84.66666667,0
0,0,1,67,75,72,71.33333333,0
1,0,0,70,64,70,68.0,0
1,0,1,50,42,48,46.66666667,0
0,0,0,69,84,82,78.33333333,0
0,0,0,52,61,66,59.66666667,1
0,0,1,47,62,66,58.33333333,1
0,1,1,46,61,55,54.0,1
0,0,0,68,70,66,68.0,0
1,0,0,100,100,100,100.0,0
0,0,0,44,61,52,52.33333333,1
0,1,0,57,77,80,71.33333333,0
1,0,0,91,96,91,92.66666667,0
1,0,1,69,70,67,68.66666667,0
0,0,1,35,53,46,44.66666667,1
1,0,0,72,66,66,68.0,0
0,1,1,54,65,65,61.33333333,0
1,0,1,74,70,69,71.0,0
1,1,0,74,64,60,66.0,0
1,1,1,64,56,52,57.33333333,1
0,0,1,65,61,71,65.66666667,0
1,1,1,46,43,44,44.33333333,1
0,1,1,48,56,51,51.66666667,1
1,0,1,67,74,70,70.33333333,0
1,0,1,62,57,62,60.33333333,0
1,1,1,61,71,73,68.33333333,0
1,0,1,70,75,74,73.0,0
1,1,0,98,87,90,91.66666667,0
1,0,1,70,63,58,63.66666667,0
1,1,0,67,57,53,59.0,1
0,0,1,57,58,57,57.33333333,1
1,0,0,85,81,85,83.66666667,0
1,1,0,77,68,69,71.33333333,1
1,1,1,72,66,72,70.0,0
0,1,0,78,91,96,88.33333333,0
1,0,0,81,66,64,70.33333333,0
1,1,1,61,62,61,61.33333333,0
0,0,0,58,68,61,62.33333333,0
0,1,0,54,61,58,57.66666667,1
1,0,0,82,82,80,81.33333333,0
0,0,1,49,58,60,55.66666667,1
1,1,1,49,50,52,50.33333333,1
0,0,1,57,75,73,68.33333333,0
1,0,0,94,73,71,79.33333333,0
0,0,0,75,77,83,78.33333333,0
0,1,1,74,74,72,73.33333333,0
1,0,0,58,52,54,54.66666667,1
0,0,0,62,69,69,66.66666667,0
1,1,0,72,57,62,63.66666667,0
1,0,0,84,87,81,84.0,0
0,1,0,92,100,100,97.33333333,0
0,0,0,45,63,59,55.66666667,0
1,0,0,75,81,71,75.66666667,0
0,0,0,56,58,64,59.33333333,1
0,1,1,48,54,53,51.66666667,1
0,1,0,100,100,100,100.0,0
0,1,1,65,76,75,72.0,0
1,0,0,72,57,58,62.33333333,0
0,0,0,62,70,72,68.0,0
1,1,0,66,68,64,66.0,0
1,0,0,63,63,60,62.0,0
0,1,0,68,76,67,70.33333333,0
0,0,0,75,84,80,79.66666667,0
0,0,0,89,100,100,96.33333333,0
1,1,0,78,72,69,73.0,0
0,0,1,53,50,60,54.33333333,1
0,0,1,49,65,61,58.33333333,1
0,0,0,54,63,67,61.33333333,0
0,0,0,64,82,77,74.33333333,0
1,0,1,60,62,60,60.66666667,0
1,1,0,62,65,58,61.66666667,0
1,0,0,55,41,48,48.0,1
0,1,0,91,95,94,93.33333333,0
0,0,1,8,24,23,18.33333333,1
1,1,0,81,78,78,79.0,0
1,1,0,79,85,86,83.33333333,0
0,0,0,78,87,91,85.33333333,0
0,1,0,74,75,82,77.0,0
1,0,0,57,51,54,54.0,1
0,1,0,40,59,51,50.0,1
1,1,0,81,75,76,77.33333333,0
0,1,1,44,45,45,44.66666667,1
0,0,1,67,86,83,78.66666667,0
1,0,1,86,81,75,80.66666667,0
0,1,0,65,82,78,75.0,0
0,1,1,55,76,76,69.0,0
0,0,1,62,72,74,69.33333333,0
1,0,0,63,63,62,62.66666667,0
0,1,0,88,99,95,94.0,0
1,0,1,62,55,55,57.33333333,1
0,0,1,59,71,65,65.0,0
0,0,0,68,78,77,74.33333333,0
0,0,1,77,86,86,83.0,0
